Frame         Time          Bond          Angle         Dihed         Impr          Elec          VdW           Conf          Nonbond       Total         
0             0             +237.181      +676.219      +722.451      +36.8504      -1177.38      -228.617      +1672.7       -1406         +266.705      
1             1             +248.457      +675.545      +701.735      +36.5931      -1198.99      -216.67       +1662.33      -1415.66      +246.674      
2             2             +242.758      +688.555      +718.064      +48.5607      -1184.2       -237.883      +1697.94      -1422.08      +275.855      
3             3             +235.821      +671.017      +725.541      +38.959       -1183.89      -218.809      +1671.34      -1402.7       +268.639      
4             4             +235.283      +689.118      +707.31       +43.7484      -1187.24      -237.646      +1675.46      -1424.89      +250.573      
5             5             +239.28       +700.563      +743.155      +37.1189      -1196.11      -239.023      +1720.12      -1435.13      +284.982      
6             6             +240.45       +684.765      +719.093      +42.25        -1200.5       -208.606      +1686.56      -1409.11      +277.453      
7             7             +240.42       +708.331      +716.201      +42.7898      -1197.08      -231.695      +1707.74      -1428.78      +278.963      
8             8             +215.777      +656.071      +732.204      +35.4288      -1186.09      -207.798      +1639.48      -1393.89      +245.589      
9             9             +245.694      +702.495      +728.543      +33.9987      -1212.3       -211.703      +1710.73      -1424.01      +286.725      
10            10            +218.682      +708.166      +743.403      +37.8904      -1191.39      -225.481      +1708.14      -1416.87      +291.271      
11            11            +249.96       +654.992      +733.951      +40.6847      -1202.02      -230.311      +1679.59      -1432.33      +247.261      
12            12            +229.751      +694.744      +713.312      +43.6403      -1173.86      -210.95       +1681.45      -1384.81      +296.641      
13            13            +227.102      +731.824      +721.082      +38.4543      -1193.55      -203.393      +1718.46      -1396.94      +321.52       
14            14            +221.927      +723.612      +714.931      +40.6128      -1205.6       -214.579      +1701.08      -1420.18      +280.904      
15            15            +233.762      +679.231      +704.898      +42.949       -1181.64      -218.642      +1660.84      -1400.28      +260.557      
16            16            +242.233      +668.792      +723.346      +39.4271      -1194.65      -214.732      +1673.8       -1409.38      +264.419      
17            17            +244.357      +671.942      +712.339      +42.1419      -1176.99      -185.249      +1670.78      -1362.24      +308.535      
18            18            +241.18       +706.561      +697.668      +33.2319      -1177.91      -194.762      +1678.64      -1372.67      +305.971      
19            19            +225.481      +685.438      +686.82       +37.1245      -1187.21      -217.419      +1634.86      -1404.63      +230.233      
20            20            +222.988      +699.064      +714.974      +39.9869      -1172.3       -224.959      +1677.01      -1397.26      +279.757      
21            21            +210.23       +690.04       +692.849      +33.676       -1190.86      -221.992      +1626.79      -1412.85      +213.948      
22            22            +247.015      +719.988      +693.745      +46.6641      -1191.17      -224.862      +1707.41      -1416.03      +291.385      
23            23            +227.429      +684.596      +695.935      +34.5747      -1168.91      -224.493      +1642.53      -1393.41      +249.129      
24            24            +229.294      +697.662      +696.643      +33.5473      -1187.9       -207.962      +1657.15      -1395.86      +261.286      
25            25            +248.852      +704.801      +703.408      +44.5984      -1200.41      -225.888      +1701.66      -1426.29      +275.366      
26            26            +226.098      +704.569      +710.929      +40.9175      -1208.56      -193.976      +1682.51      -1402.54      +279.974      
27            27            +238.606      +705.847      +697.239      +35.499       -1210.02      -229.544      +1677.19      -1439.57      +237.624      
28            28            +221.217      +700.503      +697.959      +39.3327      -1181.83      -209.304      +1659.01      -1391.14      +267.875      
29            29            +248.758      +682.719      +699.693      +42.6997      -1198.47      -214.348      +1673.87      -1412.82      +261.052      
30            30            +215.017      +703.002      +700.003      +36.0444      -1174.66      -213.904      +1654.07      -1388.57      +265.499      
31            31            +248.371      +734.223      +692.115      +41.6215      -1187.2       -217.146      +1716.33      -1404.35      +311.982      
32            32            +241.519      +700.155      +696.585      +34.5912      -1196.99      -202.895      +1672.85      -1399.89      +272.962      
33            33            +222.806      +718.542      +702.172      +43.6597      -1169.64      -217.004      +1687.18      -1386.64      +300.539      
34            34            +212.846      +693.331      +706.5        +43.9226      -1186.93      -199.989      +1656.6       -1386.92      +269.678      
35            35            +228.101      +684.873      +694.881      +29.1023      -1234.15      -218.702      +1636.96      -1452.85      +184.108      
36            36            +245.322      +673.345      +695.479      +32.2581      -1197.64      -228.34       +1646.4       -1425.98      +220.42       
37            37            +228.054      +696.582      +696.138      +36.1415      -1207.68      -218.836      +1656.92      -1426.52      +230.396      
38            38            +249.231      +647.649      +696.986      +37.3721      -1179.02      -212.484      +1631.24      -1391.5       +239.734      
39            39            +245.768      +683.548      +701.922      +39.8881      -1216.95      -210.068      +1671.13      -1427.01      +244.112      
40            40            +241.647      +676.414      +687.783      +41.5958      -1175.48      -223.314      +1647.44      -1398.8       +248.643      
41            41            +235.325      +704.72       +698.884      +40.5707      -1176.08      -221.447      +1679.5       -1397.53      +281.975      
42            42            +219.174      +677.402      +697.251      +51.368       -1206.05      -217.081      +1645.19      -1423.13      +222.065      
43            43            +246.42       +712.175      +698.24       +39.8731      -1173.89      -227.842      +1696.71      -1401.73      +294.979      
44            44            +223.156      +696.744      +692.623      +41.3249      -1176.5       -200.468      +1653.85      -1376.96      +276.884      
45            45            +237.743      +693.284      +693.434      +38.0294      -1151.06      -229.966      +1662.49      -1381.03      +281.461      
46            46            +218.179      +699.111      +702.056      +44.7321      -1182.34      -216.62       +1664.08      -1398.96      +265.12       
47            47            +237.407      +667.748      +699.514      +31.4708      -1164.13      -215.944      +1636.14      -1380.08      +256.062      
48            48            +221.378      +709.295      +705.411      +36.2816      -1156.43      -216.644      +1672.37      -1373.07      +299.293      
49            49            +229.372      +681.517      +705.915      +41.6912      -1181.45      -207.84       +1658.5       -1389.29      +269.207      
50            50            +234.984      +680.441      +684.217      +41.4001      -1168.62      -226.776      +1641.04      -1395.39      +245.647      
51            51            +208.942      +687.664      +709.971      +35.5615      -1174.93      -208.526      +1642.14      -1383.46      +258.682      
52            52            +230.727      +658.029      +687.672      +41.9002      -1176.26      -196.877      +1618.33      -1373.14      +245.187      
53            53            +218.874      +671.259      +709.444      +38.2772      -1151.82      -223.03       +1637.85      -1374.85      +263          
54            54            +232.048      +693.082      +709.583      +34.5453      -1191.1       -229.405      +1669.26      -1420.5       +248.755      
55            55            +232.604      +676.134      +701.999      +45.9233      -1168.69      -220.706      +1656.66      -1389.4       +267.262      
56            56            +248.564      +652.512      +690.124      +38.2958      -1180.43      -202.825      +1629.5       -1383.26      +246.241      
57            57            +219.949      +715.103      +697.452      +43.579       -1186.48      -208.091      +1676.08      -1394.58      +281.508      
58            58            +220.475      +660.111      +712.463      +40.4341      -1189.81      -207.383      +1633.48      -1397.19      +236.292      
59            59            +247.64       +670.72       +698.744      +36.3718      -1206.9       -204.371      +1653.48      -1411.27      +242.201      
60            60            +238.859      +674.543      +710.264      +39.4723      -1202.1       -207.583      +1663.14      -1409.68      +253.455      
61            61            +234.506      +697.072      +695.996      +37.8738      -1220.74      -217.683      +1665.45      -1438.42      +227.026      
62            62            +239.536      +671.897      +691.548      +33.4718      -1181.8       -207.476      +1636.45      -1389.27      +247.179      
63            63            +209.119      +712.135      +710.137      +38.0965      -1183.23      -220.986      +1669.49      -1404.21      +265.274      
64            64            +227.843      +703.402      +697.781      +35.7712      -1179.39      -214.49       +1664.8       -1393.88      +270.918      
65            65            +221.625      +716.803      +689.681      +39.0776      -1221.98      -194.176      +1667.19      -1416.16      +251.026      
66            66            +222.752      +690.635      +710.119      +39.4111      -1174.6       -205.514      +1662.92      -1380.11      +282.803      
67            67            +220.058      +642.8        +688.712      +35.96        -1170.68      -192.828      +1587.53      -1363.5       +224.026      
68            68            +234.902      +704.998      +709.303      +38.9257      -1203.88      -233.925      +1688.13      -1437.8       +250.327      
69            69            +230.157      +665.237      +700.194      +38.501       -1206.23      -214.441      +1634.09      -1420.67      +213.42       
70            70            +219.559      +658.329      +706.539      +40.8003      -1179.47      -217.882      +1625.23      -1397.35      +227.879      
71            71            +252.337      +673.956      +687.624      +44.1277      -1201.2       -200.88       +1658.04      -1402.08      +255.969      
72            72            +225.291      +672.412      +713.736      +40.6853      -1218.8       -216.542      +1652.12      -1435.34      +216.784      
73            73            +218.178      +674.218      +694.792      +47.3548      -1218.07      -213.598      +1634.54      -1431.67      +202.873      
74            74            +226.851      +677.793      +708.223      +37.1106      -1219.21      -238.751      +1649.98      -1457.96      +192.02       
75            75            +251.554      +656.163      +699.098      +43.7746      -1212.59      -208.119      +1650.59      -1420.71      +229.882      
76            76            +216.296      +695.71       +688.514      +41.4776      -1163.36      -214.262      +1642         -1377.62      +264.378      
77            77            +238.49       +692.921      +696.77       +36.1271      -1173.99      -206.732      +1664.31      -1380.72      +283.585      
78            78            +204.881      +703.84       +697.876      +40.4928      -1188.79      -200.661      +1647.09      -1389.45      +257.639      
79            79            +225.197      +708.068      +713.424      +34.6086      -1196.11      -222.427      +1681.3       -1418.53      +262.764      
80            80            +223.371      +695.652      +689.414      +37.6397      -1204.3       -197.788      +1646.08      -1402.09      +243.985      
81            81            +241.665      +688.152      +710.009      +37.1235      -1204.46      -210.711      +1676.95      -1415.17      +261.776      
82            82            +253.423      +650.345      +718.194      +32.9796      -1179.62      -215.484      +1654.94      -1395.1       +259.84       
